t,n,dkg,download_bw_bytes,download_bw_hum,upload_bw_bytes,upload_bw_hum,comm_bw_bytes,comm_bw_hum,total_bw_bytes,total_bw_hum
2,3,JF-DKG,192,192.00 bytes,128,128.00 bytes,320,320.00 bytes,960,960.00 bytes
2,3,eJF-DKG,448,448.00 bytes,288,288.00 bytes,736,736.00 bytes,2208,2.16 KiB
2,3,AMT DKG,448,448.00 bytes,288,288.00 bytes,736,736.00 bytes,2208,2.16 KiB
4,7,JF-DKG,960,960.00 bytes,320,320.00 bytes,1280,1.25 KiB,8960,8.75 KiB
4,7,eJF-DKG,1344,1.31 KiB,544,544.00 bytes,1888,1.84 KiB,13216,12.91 KiB
4,7,AMT DKG,1536,1.50 KiB,736,736.00 bytes,2272,2.22 KiB,15904,15.53 KiB
8,15,JF-DKG,4032,3.94 KiB,704,704.00 bytes,4736,4.62 KiB,71040,69.38 KiB
8,15,eJF-DKG,3136,3.06 KiB,1056,1.03 KiB,4192,4.09 KiB,62880,61.41 KiB
8,15,AMT DKG,4032,3.94 KiB,1952,1.91 KiB,5984,5.84 KiB,89760,87.66 KiB
16,31,JF-DKG,16320,15.94 KiB,1472,1.44 KiB,17792,17.38 KiB,551552,538.62 KiB
16,31,eJF-DKG,6720,6.56 KiB,2080,2.03 KiB,8800,8.59 KiB,272800,266.41 KiB
16,31,AMT DKG,9600,9.38 KiB,4960,4.84 KiB,14560,14.22 KiB,451360,440.78 KiB
32,63,JF-DKG,65472,63.94 KiB,3008,2.94 KiB,68480,66.88 KiB,4314240,4.11 MiB
32,63,eJF-DKG,13888,13.56 KiB,4128,4.03 KiB,18016,17.59 KiB,1135008,1.08 MiB
32,63,AMT DKG,21824,21.31 KiB,12064,11.78 KiB,33888,33.09 KiB,2134944,2.04 MiB
64,127,JF-DKG,262080,255.94 KiB,6080,5.94 KiB,268160,261.88 KiB,34056320,32.48 MiB
64,127,eJF-DKG,28224,27.56 KiB,8224,8.03 KiB,36448,35.59 KiB,4628896,4.41 MiB
64,127,AMT DKG,48384,47.25 KiB,28384,27.72 KiB,76768,74.97 KiB,9749536,9.30 MiB
128,255,JF-DKG,1048512,1023.94 KiB,12224,11.94 KiB,1060736,1.01 MiB,270487680,257.96 MiB
128,255,eJF-DKG,56896,55.56 KiB,16416,16.03 KiB,73312,71.59 KiB,18694560,17.83 MiB
128,255,AMT DKG,105664,103.19 KiB,65184,63.66 KiB,170848,166.84 KiB,43566240,41.55 MiB
256,511,JF-DKG,4194240,4.00 MiB,24512,23.94 KiB,4218752,4.02 MiB,2155782272,2.01 GiB
256,511,eJF-DKG,114240,111.56 KiB,32800,32.03 KiB,147040,143.59 KiB,75137440,71.66 MiB
256,511,AMT DKG,228480,223.12 KiB,147040,143.59 KiB,375520,366.72 KiB,191890720,183.00 MiB
512,1023,JF-DKG,16777152,16.00 MiB,49088,47.94 KiB,16826240,16.05 MiB,17213243520,16.03 GiB
512,1023,eJF-DKG,228928,223.56 KiB,65568,64.03 KiB,294496,287.59 KiB,301269408,287.31 MiB
512,1023,AMT DKG,490560,479.06 KiB,327200,319.53 KiB,817760,798.59 KiB,836568480,797.81 MiB
1024,2047,JF-DKG,67108800,64.00 MiB,98240,95.94 KiB,67207040,64.09 MiB,137572810880,128.12 GiB
