t,n,build,dkg,num_deal_iters,num_verify_bc_iters,num_verify_wc_iters,num_reconstr_bc_iters,num_reconstr_wc_iters,avg_deal_usec,avg_verify_best_case_usec,avg_verify_worst_case_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_bc_hum,avg_verify_wc_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify_bc,stddev_verify_wc,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum
2,3,release,amt,10,100,100,1000,100,1500,4984,8958,252,7906,1.50 ms,4.98 ms,8.96 ms,252.00 mus,7.91 ms,19.308288,86.59153,161.842299,20.399266,26.409385,25.64 MiB,5.16 MiB
4,7,release,amt,10,100,100,1000,100,4113,7829,39048,258,21339,4.11 ms,7.83 ms,39.05 ms,258.00 mus,21.34 ms,34.698847,121.606126,5886.311722,9.137422,431.625087,25.64 MiB,5.16 MiB
8,15,release,amt,10,100,100,1000,100,13539,16029,109897,278,56461,13.54 ms,16.03 ms,109.90 ms,278.00 mus,56.46 ms,226.608473,2253.329982,13153.912288,11.161128,6897.94169,25.64 MiB,5.16 MiB
16,31,release,amt,10,100,100,1000,100,30112,26339,261695,323,126689,30.11 ms,26.34 ms,261.69 ms,323.00 mus,126.69 ms,445.769234,3809.979382,30012.484295,9.81902,5067.391131,25.75 MiB,5.31 MiB
32,63,release,amt,10,100,100,200,100,57978,48484,598946,454,297713,57.98 ms,48.48 ms,598.95 ms,454.00 mus,297.71 ms,8082.72761,6183.465925,44081.628218,7.880722,25113.864901,25.82 MiB,5.42 MiB
64,127,release,amt,10,100,80,50,100,100814,72249,1165768,910,663187,100.81 ms,72.25 ms,1.17 secs,910.00 mus,663.19 ms,1425.97028,4304.915924,52374.078739,9.799367,3066.468099,26.79 MiB,6.39 MiB
128,255,release,amt,10,100,80,25,100,212781,137867,2597391,1645,1456378,212.78 ms,137.87 ms,2.60 secs,1.65 ms,1.46 secs,1288.237695,10203.430212,86875.779514,7.172615,4099.383155,27.11 MiB,6.88 MiB
256,511,release,amt,10,100,80,10,100,450767,270248,5623142,3225,3169765,450.77 ms,270.25 ms,5.62 secs,3.23 ms,3.17 secs,10620.380634,10964.297387,57581.470464,6.321392,5371.132416,27.99 MiB,7.77 MiB
512,1023,release,amt,10,100,80,10,100,937162,519821,12185914,6582,6840211,937.16 ms,519.82 ms,12.19 secs,6.58 ms,6.84 secs,3153.7576,3930.568554,149714.918134,9.914131,8337.87832,29.80 MiB,9.58 MiB
1024,2047,release,amt,10,100,40,10,10,1949535,1036757,26329264,13585,15766090,1.95 secs,1.04 secs,26.33 secs,13.59 ms,15.77 secs,7012.187408,7356.880136,163697.87628,152.221713,243156.64672,34.15 MiB,13.88 MiB
2048,4095,release,amt,10,100,20,10,10,4035805,2071200,56444950,28807,34420027,4.04 secs,2.07 secs,56.44 secs,28.81 ms,34.42 secs,13214.455861,11004.63499,227415.023574,210.574001,165022.377715,43.04 MiB,22.80 MiB
4096,8191,release,amt,10,100,8,10,10,8355453,4137753,120367118,60008,73511419,8.36 secs,4.14 secs,2.01 mins,60.01 ms,1.23 mins,122995.801636,18716.300704,45540.256045,720.67483,321945.372435,61.18 MiB,40.91 MiB
8192,16383,release,amt,8,80,4,10,10,17176256,8146050,256036169,126440,154051124,17.18 secs,8.15 secs,4.27 mins,126.44 ms,2.57 mins,156274.931455,96364.591155,419570.976062,634.12125,546087.759819,90.68 MiB,70.34 MiB
16384,32767,release,amt,5,40,2,10,4,36915313,18995633,626432490,266547,300764697,36.92 secs,19.00 secs,10.44 mins,266.55 ms,5.01 mins,400403.258993,1398533.444603,579072.5,824.137877,1180156.122893,136.18 MiB,115.82 MiB
32768,65535,release,amt,3,20,1,10,2,72210892,32963383,1149038776,565439,628361931,1.20 mins,32.96 secs,19.15 mins,565.44 ms,10.47 mins,109258.002625,161330.165309,na,1792.784482,34665,222.68 MiB,202.41 MiB
65536,131071,release,amt,3,16,1,10,1,148579474,68932189,2423691394,1211522,1320742343,2.48 mins,1.15 mins,40.39 mins,1.21 secs,22.01 mins,88269.067834,1036823.76479,na,4825.504115,na,431.68 MiB,411.38 MiB
131072,262143,release,amt,2,8,1,10,1,301880929,135698661,5094131827,2585132,2836830065,5.03 mins,2.26 mins,1.42 hrs,2.59 secs,47.28 mins,209899.5,5305874.848762,na,8409.261599,na,801.75 MiB,781.46 MiB
262144,524287,release,amt,1,4,1,10,1,615321830,266378461,10663969766,5635568,6454067514,10.26 mins,4.44 mins,2.96 hrs,5.64 secs,1.79 hrs,na,2834802.50533,na,367964.265927,na,1.59 GiB,1.57 GiB
524288,1048575,release,amt,1,3,1,10,1,1251233151,528211991,22290359836,11784576,12637106980,20.85 mins,8.80 mins,6.19 hrs,11.78 secs,3.51 hrs,na,4112340.329949,na,50709.220002,na,3.24 GiB,3.22 GiB
1048576,2097151,release,amt,1,2,1,10,1,2541258565,1088894716,46495388837,24712133,24574860611,42.35 mins,18.15 mins,12.92 hrs,24.71 secs,6.83 hrs,na,4060125,na,75107.605953,na,6.65 GiB,6.63 GiB
