t,n,build,dkg,num_deal_iters,num_verify_bc_iters,num_verify_wc_iters,num_reconstr_bc_iters,num_reconstr_wc_iters,avg_deal_usec,avg_verify_best_case_usec,avg_verify_worst_case_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_bc_hum,avg_verify_wc_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify_bc,stddev_verify_wc,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,date
2,3,release,amt,256,256,256,256,256,1035,3632,6815,154,5980,1.03 ms,3.63 ms,6.82 ms,154.00 mus,5.98 ms,95.027835,417.911641,845.400842,16.568084,471.503451,4.13 GiB,2.48 MiB,2020-04-03 15:59:53
4,7,release,amt,256,256,256,256,256,2743,5433,22870,153,16190,2.74 ms,5.43 ms,22.87 ms,153.00 mus,16.19 ms,256.837675,447.423915,923.571874,12.289137,964.499909,4.13 GiB,2.60 MiB,2020-04-03 16:00:05
8,15,release,amt,256,256,256,256,256,6158,8996,59821,167,37410,6.16 ms,9.00 ms,59.82 ms,167.00 mus,37.41 ms,339.132456,922.714293,1024.170220,10.259017,1015.652651,4.13 GiB,2.74 MiB,2020-04-03 16:00:34
16,31,release,amt,256,256,128,256,256,14588,15488,144850,207,85820,14.59 ms,15.49 ms,144.85 ms,207.00 mus,85.82 ms,919.689795,1216.078940,1588.770568,15.712860,1634.625321,4.13 GiB,3.03 MiB,2020-04-03 16:01:22
32,63,release,amt,256,256,64,256,128,29353,25406,336750,312,193760,29.35 ms,25.41 ms,336.75 ms,312.00 mus,193.76 ms,693.829644,744.928323,2670.433236,38.583288,3283.025846,4.13 GiB,4.20 MiB,2020-04-03 16:02:23
64,127,release,amt,256,256,32,256,64,60841,45465,758836,745,430420,60.84 ms,45.47 ms,758.84 ms,745.00 mus,430.42 ms,972.650606,1025.512094,9240.855035,285.619047,5302.594187,4.14 GiB,8.64 MiB,2020-04-03 16:03:42
128,255,release,amt,256,256,16,256,32,126777,84560,1681677,1348,937800,126.78 ms,84.56 ms,1.68 secs,1.35 ms,937.80 ms,1440.783758,2177.450556,9988.053038,81.647919,5230.022513,4.14 GiB,21.27 MiB,2020-04-03 16:05:34
256,511,release,amt,128,256,8,256,16,264512,161706,3692382,2600,2040000,264.51 ms,161.71 ms,3.69 secs,2.60 ms,2.04 secs,2038.573871,1961.132588,26328.971262,141.180753,6391.457761,4.14 GiB,22.88 MiB,2020-04-03 16:07:52
512,1023,release,amt,64,128,4,256,8,551913,319026,8019642,5212,4380000,551.91 ms,319.03 ms,8.02 secs,5.21 ms,4.38 secs,6037.202009,2949.274368,23925.589737,291.278184,10529.142650,4.14 GiB,32.84 MiB,2020-04-03 16:10:17
1024,2047,release,amt,32,64,2,256,4,1142207,625283,17330653,11947,9630000,1.14 secs,625.28 ms,17.33 secs,11.95 ms,9.63 secs,6784.465378,4179.795490,6234.500000,890.648373,127166.774026,4.14 GiB,41.27 MiB,2020-04-03 16:12:51
2048,4095,release,amt,16,32,1,256,2,2371558,1241664,37186546,23278,20330000,2.37 secs,1.24 secs,37.19 secs,23.28 ms,20.33 secs,22545.806944,7675.537558,nan,727.567062,166360.000000,4.15 GiB,56.74 MiB,2020-04-03 16:15:33
4096,8191,release,amt,8,16,1,256,1,4875893,2480298,79598473,44214,42550000,4.88 secs,2.48 secs,1.33 mins,44.21 ms,42.55 secs,28304.860404,31565.544296,nan,954.932944,nan,4.17 GiB,79.32 MiB,2020-04-03 16:19:07
8192,16383,release,amt,4,8,1,256,1,9951084,4940560,176330295,94321,91800000,9.95 secs,4.94 secs,2.94 mins,94.32 ms,1.53 mins,15722.711843,74468.820090,nan,1907.959550,nan,4.19 GiB,98.14 MiB,2020-04-03 16:25:23
16384,32767,release,amt,2,4,1,128,1,20622388,10103377,356838003,198456,194400000,20.62 secs,10.10 secs,5.95 mins,198.46 ms,3.24 mins,142106.500000,94320.435493,nan,3520.151953,nan,4.24 GiB,129.21 MiB,2020-04-03 16:36:29
32768,65535,release,amt,1,2,1,64,1,43001832,19998379,815146563,472913,466200000,43.00 secs,20.00 secs,13.59 mins,472.91 ms,7.77 mins,nan,316707.000000,nan,3581.378670,nan,4.33 GiB,237.00 MiB,2020-04-03 17:00:18
65536,131071,release,amt,1,1,1,32,1,102340572,52243599,1706849818,893396,853800000,1.71 mins,52.24 secs,28.45 mins,893.40 ms,14.23 mins,nan,nan,nan,4219.267060,nan,4.46 GiB,389.92 MiB,2020-04-03 17:47:21
131072,262143,release,amt,1,1,1,16,1,175653353,81636399,3442773679,1845412,1771800000,2.93 mins,1.36 mins,57.38 mins,1.85 secs,29.53 mins,nan,nan,nan,5309.855097,nan,4.64 GiB,542.29 MiB,2020-04-03 18:51:15
262144,524287,release,amt,1,1,1,8,1,357773483,157034780,7011056409,4201696,3996000000,5.96 mins,2.62 mins,1.95 hrs,4.20 secs,1.11 hrs,nan,nan,nan,188483.381508,nan,4.87 GiB,511.37 MiB,2020-04-04 12:58:16
524288,1048575,release,amt,1,1,1,4,1,759016749,332595955,15503034303,8324544,7704000000,12.65 mins,5.54 mins,4.31 hrs,8.32 secs,2.14 hrs,nan,nan,nan,78863.232571,nan,5.66 GiB,592.66 MiB,2020-04-04 01:48:45
1048576,2097151,release,amt,1,1,1,2,1,1607492346,655083781,30536103552,17607022,16776000000,26.79 mins,10.92 mins,8.48 hrs,17.61 secs,4.66 hrs,nan,nan,nan,238655.000000,nan,7.02 GiB,728.33 MiB,2020-04-04 11:14:23
