t,n,build,dkg,num_deal_iters,num_verify_bc_iters,num_verify_wc_iters,num_reconstr_bc_iters,num_reconstr_wc_iters,avg_deal_usec,avg_verify_best_case_usec,avg_verify_worst_case_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_bc_hum,avg_verify_wc_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify_bc,stddev_verify_wc,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,date
2,3,release,fk,10,100,100,1000,1000,1250,3401,6211,141,4790,1.25 ms,3.40 ms,6.21 ms,141.00 mus,4.79 ms,68.758200,182.218248,347.648811,12.625622,254.783773,4.13 GiB,2.41 MiB,2020-03-22 23:14:26
4,7,release,fk,10,100,100,1000,1000,5196,4506,17707,150,10220,5.20 ms,4.51 ms,17.71 ms,150.00 mus,10.22 ms,157.117281,191.943074,905.591578,6.439093,670.787250,4.13 GiB,2.47 MiB,2020-03-22 23:14:39
8,15,release,fk,10,100,100,1000,1000,13283,7474,44174,177,20690,13.28 ms,7.47 ms,44.17 ms,177.00 mus,20.69 ms,303.404829,340.874334,1446.291633,25.318216,975.528311,4.13 GiB,2.52 MiB,2020-03-22 23:15:05
16,31,release,fk,10,100,100,1000,1000,31549,11765,89709,202,43010,31.55 ms,11.77 ms,89.71 ms,202.00 mus,43.01 ms,459.451368,690.385653,2757.549325,9.267602,3263.322421,4.13 GiB,2.57 MiB,2020-03-22 23:15:59
32,63,release,fk,10,100,100,200,1000,74799,21643,191870,338,85460,74.80 ms,21.64 ms,191.87 ms,338.00 mus,85.46 ms,1493.929664,601.219392,22445.573149,78.240169,5135.002353,4.13 GiB,2.62 MiB,2020-03-22 23:17:46
64,127,release,fk,10,100,80,50,500,173211,42530,389820,827,177800,173.21 ms,42.53 ms,389.82 ms,827.00 mus,177.80 ms,2275.645148,4359.957588,15936.758455,812.496877,16121.718816,4.14 GiB,3.29 MiB,2020-03-22 23:19:52
128,255,release,fk,10,100,80,25,250,403247,80391,759123,1327,336010,403.25 ms,80.39 ms,759.12 ms,1.33 ms,336.01 ms,8924.600453,1715.186051,15895.153630,76.541753,4891.507102,4.14 GiB,3.50 MiB,2020-03-22 23:22:29
256,511,release,fk,10,100,80,10,120,884919,156853,1510418,2547,671530,884.92 ms,156.85 ms,1.51 secs,2.55 ms,671.53 ms,4783.177920,4979.158721,20573.043930,122.722288,11914.448618,4.14 GiB,4.35 MiB,2020-03-22 23:26:15
512,1023,release,fk,10,100,80,10,60,2002176,330082,3140027,5520,1420000,2.00 secs,330.08 ms,3.14 secs,5.52 ms,1.42 secs,52804.044625,8757.622384,90270.399568,719.315369,30512.980959,4.14 GiB,6.53 MiB,2020-03-22 23:32:44
1024,2047,release,fk,10,100,40,10,30,4604621,612857,6132727,10778,2800000,4.60 secs,612.86 ms,6.13 secs,10.78 ms,2.80 secs,219015.534231,17690.034243,200628.508297,1132.576602,73566.955695,4.14 GiB,9.38 MiB,2020-03-22 23:40:01
2048,4095,release,fk,10,100,20,10,15,9496118,1200561,11892593,21406,5390000,9.50 secs,1.20 secs,11.89 secs,21.41 ms,5.39 secs,108015.775192,8214.528182,146495.934057,997.278101,142568.522091,4.14 GiB,17.61 MiB,2020-03-22 23:48:56
4096,8191,release,fk,10,100,8,10,10,20878730,2541913,24295334,47807,10990000,20.88 secs,2.54 secs,24.30 secs,47.81 ms,10.99 secs,314505.349728,88590.549085,501817.666358,2655.781128,547944.530617,4.16 GiB,30.68 MiB,2020-03-23 00:03:22
8192,16383,release,fk,8,80,4,10,10,43956317,4754744,46886810,92949,20990000,43.96 secs,4.75 secs,46.89 secs,92.95 ms,20.99 secs,96643.577400,30863.651179,29662.303463,1420.881853,11918.588534,4.17 GiB,53.20 MiB,2020-03-23 00:22:15
16384,32767,release,fk,5,40,2,10,10,94699928,9493762,93750406,197288,42040000,1.58 mins,9.49 secs,1.56 mins,197.29 ms,42.04 secs,353433.853507,70873.595474,13411.500000,2121.289004,50970.332622,4.19 GiB,68.68 MiB,2020-03-23 00:54:01
32768,65535,release,fk,3,20,1,10,10,202284016,19230525,188107008,444680,84000000,3.37 mins,19.23 secs,3.14 mins,444.68 ms,1.40 mins,123134.611374,28066.817321,nan,45842.183315,60451.981874,4.22 GiB,113.95 MiB,2020-03-23 01:27:56
65536,131071,release,fk,3,16,1,10,10,430582573,38134731,375396221,878102,168600000,7.18 mins,38.13 secs,6.26 mins,878.10 ms,2.81 mins,770760.925622,404180.751225,nan,7836.353297,249975.546289,4.32 GiB,220.64 MiB,2020-03-23 02:34:26
131072,262143,release,fk,2,8,1,10,8,914394878,75614325,751499881,1854421,337200000,15.24 mins,1.26 mins,12.52 mins,1.85 secs,5.62 mins,12263.000000,2145104.844109,nan,13756.396205,301266.050260,4.48 GiB,384.97 MiB,2020-03-23 04:13:28
