t,n,build,dkg,num_deal_iters,num_verify_bc_iters,num_verify_wc_iters,num_reconstr_bc_iters,num_reconstr_wc_iters,avg_deal_usec,avg_verify_best_case_usec,avg_verify_worst_case_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_bc_hum,avg_verify_wc_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify_bc,stddev_verify_wc,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum
2,3,release,kate,10,100,100,1000,1000,1569,4992,8918,252,7115,1.57 ms,4.99 ms,8.92 ms,252.00 mus,7.12 ms,133.154,97.002957,130.697252,20.399266,483.598889,25.57 MiB,5.05 MiB
4,7,release,kate,10,100,100,1000,1000,5262,6916,26628,258,15277,5.26 ms,6.92 ms,26.63 ms,258.00 mus,15.28 ms,139.29,490.13879,266.43494,9.137422,1347.859917,25.57 MiB,5.05 MiB
8,15,release,kate,10,100,100,1000,1000,13032,10875,62585,278,32169,13.03 ms,10.88 ms,62.59 ms,278.00 mus,32.17 ms,100.205,98.384053,749.325555,11.161128,3013.210512,25.57 MiB,5.05 MiB
16,31,release,kate,10,100,100,1000,1000,40061,18840,134611,323,67402,40.06 ms,18.84 ms,134.61 ms,323.00 mus,67.40 ms,100.053,102.609654,3145.596173,9.81902,7083.840119,25.68 MiB,5.60 MiB
32,63,release,kate,10,100,100,200,1000,133709,35007,277072,454,146856,133.71 ms,35.01 ms,277.07 ms,454.00 mus,146.86 ms,550.034,401.369226,3326.606821,7.880722,17797.064188,25.77 MiB,5.69 MiB
64,127,release,kate,10,100,50,50,500,459117,66512,559602,910,256329,459.12 ms,66.51 ms,559.60 ms,910.00 mus,256.33 ms,2796.2,825.405453,3423.958071,9.799367,201.751038,26.08 MiB,5.46 MiB
128,255,release,kate,10,100,25,25,250,1602309,128565,1130723,1645,514931,1.60 secs,128.56 ms,1.13 secs,1.65 ms,514.93 ms,4441.19,1094.14308,8765.737533,7.172615,438.624752,26.62 MiB,6.47 MiB
256,511,release,kate,10,100,12,10,120,5698797,254127,2258189,3225,1017670,5.70 secs,254.13 ms,2.26 secs,3.23 ms,1.02 secs,7293.22,3019.561529,6442.764029,6.321392,35299.079512,27.40 MiB,7.39 MiB
512,1023,release,kate,10,50,10,10,60,20605535,507002,4529116,6582,2065289,20.61 secs,507.00 ms,4.53 secs,6.58 ms,2.07 secs,37342,3329.386879,10506.843094,9.914131,436.36419,28.79 MiB,8.63 MiB
1024,2047,release,kate,8,25,10,10,30,75223594,1014561,9076809,13585,4293806,1.25 mins,1.01 secs,9.08 secs,13.59 ms,4.29 secs,336556,5721.576954,16397.603479,152.221713,112196.690034,31.11 MiB,10.64 MiB
2048,4095,release,kate,2,12,10,10,15,285270946,1999978,18140261,28807,8277573,4.75 mins,2.00 secs,18.14 secs,28.81 ms,8.28 secs,7057540,10087.150667,20417.334057,210.574001,1256.019611,33.30 MiB,12.50 MiB
4096,8191,release,kate,1,10,5,10,10,1051799743,3999384,36335019,60008,17988963,17.53 mins,4.00 secs,36.34 secs,60.01 ms,17.99 secs,na,16406.363222,48864.11941,720.67483,430384.209342,47.70 MiB,27.04 MiB
8192,16383,release,kate,1,10,3,10,10,4170460379,8013628,72566671,126440,32497790,1.16 hrs,8.01 secs,1.21 mins,126.44 ms,32.50 secs,na,23289.777474,74465.521288,634.12125,157327.258782,62.20 MiB,41.91 MiB
16384,32767,release,kate,1,10,2,10,10,16670120237,16411938,149351765,266547,66268468,4.63 hrs,16.41 secs,2.49 mins,266.55 ms,1.10 mins,na,410196.105678,310032,824.137877,3871.926967,89.32 MiB,69.16 MiB
32768,65535,release,kate,1,10,1,10,10,59895940919,32463650,290794480,565439,132609283,16.64 hrs,32.46 secs,4.85 mins,565.44 ms,2.21 mins,na,59361.955535,na,1792.784482,5544.718244,144.63 MiB,124.46 MiB
65536,131071,release,kate,0,10,1,10,10,209635793216.5,65551401,584569501,1211522,265648988,2.43 days,1.09 mins,9.74 mins,1.21 secs,4.43 mins,na,105287.850494,na,4825.504115,13855.558915,na,na
131072,262143,release,kate,0,10,1,10,8,733725276257.75,128960280,1166005433,2585132,533085745,8.49 days,2.15 mins,19.43 mins,2.59 secs,8.88 mins,na,1029548.828031,na,8409.261599,43919.0234,na,na
262144,524287,release,kate,0,10,1,10,4,2568038466902.12,259289366,2329301935,5635568,1358290627,29.72 days,4.32 mins,38.82 mins,5.64 secs,22.64 mins,na,1366207.194313,na,367964.265927,23827183.67437,na,na
524288,1048575,release,kate,0,10,1,10,2,8988134634157.44,511046828,4663771619,11784576,2670754733,104.03 days,8.52 mins,1.30 hrs,11.78 secs,44.51 mins,na,5522531.027568,na,50709.220002,255899.5,na,na
1048576,2097151,release,kate,0,10,1,10,1,31458471219551,1070561739,9331561814,24712133,4103020080,364.10 days,17.84 mins,2.59 hrs,24.71 secs,1.14 hrs,na,5434862.804556,na,75107.605953,na,na,na
