k,n,interpolation_method,num_samples,lagr_usec,multiexp_usec,total_usec,lagr_hum,multiexp_hum,total_hum
2,3,naive-lagr-wnk,100,11,303,314,11.00 mus,303.00 mus,314.00 mus
4,7,naive-lagr-wnk,100,16,649,665,16.00 mus,649.00 mus,665.00 mus
8,15,naive-lagr-wnk,100,33,731,764,33.00 mus,731.00 mus,764.00 mus
16,31,naive-lagr-wnk,100,77,1278,1355,77.00 mus,1.28 ms,1.35 ms
32,63,naive-lagr-wnk,100,212,2137,2349,212.00 mus,2.14 ms,2.35 ms
64,127,naive-lagr-wnk,100,642,3651,4293,642.00 mus,3.65 ms,4.29 ms
128,255,naive-lagr-wnk,100,2184,6408,8592,2.18 ms,6.41 ms,8.59 ms
256,511,naive-lagr-wnk,100,7966,11306,19272,7.97 ms,11.31 ms,19.27 ms
512,1023,naive-lagr-wnk,10,30559,20273,50832,30.56 ms,20.27 ms,50.83 ms
1024,2047,naive-lagr-wnk,10,118719,36896,155615,118.72 ms,36.90 ms,155.62 ms
2048,4095,naive-lagr-wnk,10,558174,78426,636600,558.17 ms,78.43 ms,636.60 ms
4096,8191,naive-lagr-wnk,10,1933103,129120,2062223,1.93 secs,129.12 ms,2.06 secs
8192,16383,naive-lagr-wnk,10,7346641,235698,7582339,7.35 secs,235.70 ms,7.58 secs
16384,32767,naive-lagr-wnk,10,29292176,449913,29742089,29.29 secs,449.91 ms,29.74 secs
32768,65535,naive-lagr-wnk,8,119119494,871959,119991453,1.99 mins,871.96 ms,2.00 mins
65536,131071,naive-lagr-wnk,4,481370443,1625375,482995818,8.02 mins,1.63 secs,8.05 mins
131072,262143,naive-lagr-wnk,2,1990918732,3129692,1994048424,33.18 mins,3.13 secs,33.23 mins
262144,524287,naive-lagr-wnk,1,7538170354,5978289,7544148643,2.09 hrs,5.98 secs,2.10 hrs
524288,1048575,naive-lagr-wnk,1,31112329597,11411533,31123741130,8.64 hrs,11.41 secs,8.65 hrs
1048576,2097151,naive-lagr-wnk,1,137142564327,22120695,137164685022,1.59 days,22.12 secs,1.59 days
