t,n,vss,build,num_deal_iters,num_verify_iters,num_reconstr_iters,avg_deal_usec,avg_verify_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,num_real_players,date
2,3,fk,release,100,1000,256,879,1602,3811,5283,879.00 mus,1.60 ms,3.81 ms,5.28 ms,66.793116,230.958046,530.780509,650.914624,4.13 GiB,2.46 MiB,3,2020-04-02 00:30:11
4,7,fk,release,100,1000,256,5382,1655,6768,11321,5.38 ms,1.66 ms,6.77 ms,11.32 ms,765.014113,242.530753,786.953536,1124.051615,4.13 GiB,2.53 MiB,7,2020-04-02 00:30:18
8,15,fk,release,100,1000,256,13622,1703,12880,23641,13.62 ms,1.70 ms,12.88 ms,23.64 ms,1052.737453,272.363651,863.939935,1126.238855,4.13 GiB,2.58 MiB,15,2020-04-02 00:30:30
16,31,fk,release,100,1000,256,34544,1726,24171,45691,34.54 ms,1.73 ms,24.17 ms,45.69 ms,1971.805776,230.547906,1527.603211,2579.868796,4.13 GiB,2.69 MiB,31,2020-04-02 00:30:53
32,63,fk,release,100,1000,256,73666,1455,43059,82961,73.67 ms,1.46 ms,43.06 ms,82.96 ms,2446.252650,81.777839,1290.810408,1937.187447,4.13 GiB,3.22 MiB,63,2020-04-02 00:31:34
64,127,fk,release,100,1000,128,166552,1431,85247,166652,166.55 ms,1.43 ms,85.25 ms,166.65 ms,3461.097619,91.065976,2459.697044,4487.308485,4.14 GiB,5.68 MiB,100,2020-04-02 00:32:25
128,255,fk,release,100,1000,64,382197,1468,168073,331027,382.20 ms,1.47 ms,168.07 ms,331.03 ms,4079.547423,95.595376,3801.617960,5213.150301,4.14 GiB,8.19 MiB,100,2020-04-02 00:33:37
256,511,fk,release,50,1000,32,870314,1434,333123,662303,870.31 ms,1.43 ms,333.12 ms,662.30 ms,13383.925492,88.865929,5406.820873,8830.923193,4.14 GiB,8.32 MiB,50,2020-04-02 00:34:54
512,1023,fk,release,30,1000,16,1952063,1431,672785,1342200,1.95 secs,1.43 ms,672.78 ms,1.34 secs,17931.735807,69.662805,8135.477060,16616.359212,4.14 GiB,10.89 MiB,30,2020-04-02 00:36:26
1024,2047,fk,release,15,1000,8,4281630,1475,1368999,2678556,4.28 secs,1.48 ms,1.37 secs,2.68 secs,47543.174667,92.655278,36616.778148,58932.754762,4.14 GiB,10.70 MiB,15,2020-04-02 00:38:05
