t,n,vss,build,num_deal_iters,num_verify_iters,num_reconstr_iters,avg_deal_usec,avg_verify_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,num_real_players
2,3,amt,release,100,1000,100,987,2073,4803,7654,987.00 mus,2.07 ms,4.80 ms,7.65 ms,12.569531,60.27984,33.173994,26.409385,26.25 MiB,5.61 MiB,3
4,7,amt,release,100,1000,100,3562,3003,11628,21081,3.56 ms,3.00 ms,11.63 ms,21.08 ms,21.611515,296.569445,517.836091,431.625087,26.25 MiB,5.61 MiB,7
8,15,amt,release,100,1000,100,9081,3929,27315,56183,9.08 ms,3.93 ms,27.32 ms,56.18 ms,41.503469,383.453116,3338.064552,6897.94169,26.40 MiB,5.61 MiB,15
16,31,amt,release,100,1000,100,23061,4856,54545,126366,23.06 ms,4.86 ms,54.55 ms,126.37 ms,3544.444966,291.608162,2585.166104,5067.391131,26.53 MiB,5.98 MiB,31
32,63,amt,release,100,1000,100,45962,5779,115380,297259,45.96 ms,5.78 ms,115.38 ms,297.26 ms,100.824467,521.286998,10742.700882,25113.864901,27.43 MiB,7.01 MiB,63
64,127,amt,release,100,1000,100,99535,6708,233056,662277,99.53 ms,6.71 ms,233.06 ms,662.28 ms,226.669438,105.950635,2554.661439,3066.468099,29.85 MiB,9.24 MiB,100
128,255,amt,release,100,1000,100,219312,7629,469164,1454733,219.31 ms,7.63 ms,469.16 ms,1.45 secs,217.182973,10.681189,3758.997017,4099.383155,32.95 MiB,13.04 MiB,100
256,511,amt,release,100,1000,100,461691,8557,941438,3166540,461.69 ms,8.56 ms,941.44 ms,3.17 secs,387.941544,9.234076,5421.053641,5371.132416,39.14 MiB,19.23 MiB,100
512,1023,amt,release,100,1000,100,963937,9479,1887600,6833629,963.94 ms,9.48 ms,1.89 secs,6.83 secs,735.649554,9.193392,6861.331409,8337.87832,51.55 MiB,31.64 MiB,100
1024,2047,amt,release,100,1000,10,2172173,10404,4067340,15752505,2.17 secs,10.40 ms,4.07 secs,15.75 secs,77589.617831,1492.343488,120607.218393,243156.64672,80.61 MiB,60.34 MiB,100
2048,4095,amt,release,100,1000,10,4622650,11327,8301247,34391220,4.62 secs,11.33 ms,8.30 secs,34.39 secs,168236.425935,1557.183063,180264.935257,165022.377715,130.88 MiB,111.05 MiB,100
4096,8191,amt,release,100,1000,10,9548806,12259,16677503,73451411,9.55 secs,12.26 ms,16.68 secs,1.22 mins,253657.09913,1952.434557,261153.050152,321945.372435,231.28 MiB,211.45 MiB,100
8192,16383,amt,release,50,1000,10,18284396,13185,33186394,153924684,18.28 secs,13.19 ms,33.19 secs,2.57 mins,595506.176772,1881.4112,304848.349237,546087.759819,249.35 MiB,228.98 MiB,50
16384,32767,amt,release,22,1000,4,36145147,14104,61326297,300498150,36.15 secs,14.10 ms,1.02 mins,5.01 mins,28310.29352,331.959048,252044.877437,1180156.122893,265.73 MiB,245.45 MiB,22
32768,65535,amt,release,10,1000,2,74274854,15028,121848980,627796492,1.24 mins,15.03 ms,2.03 mins,10.46 mins,368943.001602,12.361052,59598,34665,331.71 MiB,311.35 MiB,10
65536,131071,amt,release,5,1000,1,187342908,15957,244359637,1319530821,3.12 mins,15.96 ms,4.07 mins,21.99 mins,28553237.369637,12.019191,nan,nan,499.69 MiB,479.39 MiB,5
131072,262143,amt,release,3,1000,1,312371382,16887,503389130,2834244933,5.21 mins,16.89 ms,8.39 mins,47.24 mins,1322569.135975,8.896601,nan,nan,877.74 MiB,857.41 MiB,3
262144,524287,amt,release,2,1000,1,618165909,17811,999613197,6448431946,10.30 mins,17.81 ms,16.66 mins,1.79 hrs,850382.5,249.108565,nan,nan,1.62 GiB,1.60 GiB,2
524288,1048575,amt,release,1,1000,1,1264185446,18734,1940110959,12625322404,21.07 mins,18.73 ms,32.34 mins,3.51 hrs,nan,573.457635,nan,nan,2.15 GiB,2.13 GiB,1
1048576,2097151,amt,release,1,1000,1,2529287337,19849,3844925261,24550148478,42.15 mins,19.85 ms,1.07 hrs,6.82 hrs,nan,213.462733,nan,nan,4.28 GiB,4.26 GiB,1
