t,n,vss,build,num_deal_iters,num_verify_iters,num_reconstr_iters,avg_deal_usec,avg_verify_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,num_real_players
2,3,feld,release,100,1000,1000,711,364.666666667,252,1094,711.00 mus,364.00 mus,252.00 mus,1.09 ms,19.037571,249.040646,20.399266,86.385683,25.51 MiB,4.26 MiB,3
4,7,feld,release,100,1000,1000,1026,628.714285714,258,4401,1.03 ms,628.00 mus,258.00 mus,4.40 ms,17.608098,266.280774,9.137422,28.970722,25.51 MiB,4.26 MiB,7
8,15,feld,release,100,1000,1000,2051,797.266666667,278,11959,2.05 ms,797.00 mus,278.00 mus,11.96 ms,31.907195,300.562976,11.161128,30.000415,25.51 MiB,4.26 MiB,15
16,31,feld,release,100,1000,1000,4104,1138,323,35278,4.10 ms,1.14 ms,323.00 mus,35.28 ms,38.61742,405.148192,9.81902,70.190575,25.63 MiB,5.32 MiB,31
32,63,feld,release,100,1000,200,8200,1792.52380952,454,112929,8.20 ms,1.79 ms,454.00 mus,112.93 ms,58.682379,655.510344,7.880722,72.667514,26.14 MiB,5.61 MiB,63
64,127,feld,release,100,1000,50,16384,2945.95275591,910,374136,16.38 ms,2.94 ms,910.00 mus,374.14 ms,89.501228,1107.34576,9.799367,102.104278,27.60 MiB,7.34 MiB,100
128,255,feld,release,100,1000,25,32671,5024.98823529,1645,1281372,32.67 ms,5.02 ms,1.65 ms,1.28 secs,129.230575,1964.935771,7.172615,117604.71687,29.36 MiB,9.12 MiB,100
256,511,feld,release,100,1000,10,65990,8474.05675147,3225,4330243,65.99 ms,8.47 ms,3.23 ms,4.33 secs,666.718082,3570.732282,6.321392,18294.078494,32.96 MiB,12.87 MiB,100
512,1023,feld,release,100,1000,10,131413,14878.4193548,6582,15220623,131.41 ms,14.88 ms,6.58 ms,15.22 secs,1847.896332,6500.019507,9.914131,1954.340884,40.14 MiB,20.18 MiB,100
1024,2047,feld,release,50,1000,5,262852,26892.9223254,13585,55049812,262.85 ms,26.89 ms,13.59 ms,55.05 secs,377.618802,12086.396221,152.221713,27650.694005,40.33 MiB,20.41 MiB,50
2048,4095,feld,release,20,500,2,683707,63257.6742369,28807,259040176,683.71 ms,63.26 ms,28.81 ms,4.32 mins,38892.333575,30721.678861,210.574001,667339,38.38 MiB,18.21 MiB,20
4096,8191,feld,release,20,250,2,1051061,91835.764986,60008,752226751,1.05 secs,91.83 ms,60.01 ms,12.54 mins,765.105842,43631.183458,720.67483,1159981,50.84 MiB,30.73 MiB,20
8192,16383,feld,release,10,120,2,2102824,171134.641213,126440,2803698827,2.10 secs,171.13 ms,126.44 ms,46.73 mins,1085.73098,86005.887064,634.12125,463221.5,53.07 MiB,33.09 MiB,10
16384,32767,feld,release,10,60,1,4230564,325531.425489,266547,10666688219,4.23 secs,325.53 ms,266.55 ms,2.96 hrs,18577.072139,161458.179057,824.137877,na,80.25 MiB,60.05 MiB,10
32768,65535,feld,release,10,30,0,8459022,569671.301846,565439,37333408766.5,8.46 secs,569.67 ms,565.44 ms,10.37 hrs,3482.047847,270426.550982,1792.784482,na,117.71 MiB,97.46 MiB,10
65536,131071,feld,release,10,15,0,17362468,996917.172241,1211522,130666930683,17.36 secs,996.92 ms,1.21 secs,1.51 days,782976.811717,668272.987008,4825.504115,na,209.71 MiB,189.38 MiB,10
131072,262143,feld,release,5,10,0,33958228,1744598.39626,2585132,457334257390,33.96 secs,1.74 secs,2.59 secs,5.29 days,3877.003606,1266530.35009,8409.261599,na,213.64 MiB,193.34 MiB,5
262144,524287,feld,release,3,10,0,67741482,3053041.37021,5635568,1600669900860,1.13 mins,3.05 secs,5.64 secs,18.53 days,42967.000456,2930643.78209,367964.265927,na,257.62 MiB,237.30 MiB,3
524288,1048575,feld,release,3,8,0,135721500,5342817.30255,11784576,5602344653020,2.26 mins,5.34 secs,11.78 secs,64.84 days,285731.475626,4767141.87121,50709.220002,na,489.62 MiB,469.38 MiB,3
1048576,2097151,feld,release,2,5,0,271510203,9349925.82107,24712133,19608206285600,4.53 mins,9.35 secs,24.71 secs,226.95 days,5378,10344858.108,75107.605953,na,671.62 MiB,651.28 MiB,2
