t,n,vss,build,num_deal_iters,num_verify_iters,num_reconstr_iters,avg_deal_usec,avg_verify_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,num_real_players,date
2,3,fk,release,100,0,0,872,2193,4903,6863,872.00 mus,2.19 ms,4.90 ms,6.86 ms,43.312099,254.997885,351.627259,483.598889,4.13 GiB,2.02 MiB,3,2020-03-20 03:02:19
4,7,fk,release,100,0,0,5042,2107,9002,15019,5.04 ms,2.11 ms,9.00 ms,15.02 ms,169.728813,106.311779,825.582608,1347.859917,4.13 GiB,2.07 MiB,7,2020-03-20 03:02:20
8,15,fk,release,100,0,0,12764,2086,17501,31891,12.76 ms,2.09 ms,17.50 ms,31.89 ms,364.661408,13.696351,1718.429225,3013.210512,4.13 GiB,2.12 MiB,15,2020-03-20 03:02:21
16,31,fk,release,100,0,0,31053,2158,35150,67079,31.05 ms,2.16 ms,35.15 ms,67.08 ms,616.662249,51.986234,3972.557339,7083.840119,4.13 GiB,2.32 MiB,31,2020-03-20 03:02:24
32,63,fk,release,100,0,0,72822,2248,74987,146402,72.82 ms,2.25 ms,74.99 ms,146.40 ms,1165.748305,245.984154,9930.616165,17797.064188,4.13 GiB,3.04 MiB,63,2020-03-20 03:02:32
64,127,fk,release,100,0,0,168216,2154,129510,255419,168.22 ms,2.15 ms,129.51 ms,255.42 ms,2332.667445,8.916361,166.681771,201.751038,4.13 GiB,4.60 MiB,100,2020-03-20 03:02:49
128,255,fk,release,100,0,0,386718,2153,258851,513286,386.72 ms,2.15 ms,258.85 ms,513.29 ms,6980.591869,9.169153,292.193506,438.624752,4.12 GiB,7.18 MiB,100,2020-03-20 03:03:27
256,511,fk,release,50,0,0,882491,2146,509889,1014445,882.49 ms,2.15 ms,509.89 ms,1.01 secs,49909.428849,43.088887,18977.929608,35299.079512,4.13 GiB,7.55 MiB,50,2020-03-20 03:04:12
512,1023,fk,release,30,0,0,1942034,2150,1033994,2058707,1.94 secs,2.15 ms,1.03 secs,2.06 secs,17093.551920,8.412602,421.156562,436.36419,4.12 GiB,9.47 MiB,30,2020-03-20 03:05:10
1024,2047,fk,release,15,0,0,4404071,2238,2148827,4280221,4.40 secs,2.24 ms,2.15 secs,4.28 secs,156133.081108,232.341117,59736.834201,112196.690034,4.11 GiB,9.27 MiB,15,2020-03-20 03:06:17
2048,4095,fk,release,10,0,0,9696520,2161,4188740,8248766,9.70 secs,2.16 ms,4.19 secs,8.25 secs,225430.060617,8.375737,181701.597284,1256.019611,4.13 GiB,13.23 MiB,10,2020-03-20 03:07:55
4096,8191,fk,release,5,0,0,21426175,2360,9052471,17928955,21.43 secs,2.36 ms,9.05 secs,17.93 secs,425010.905420,335.406824,339645.517699,430384.209342,4.13 GiB,16.89 MiB,5,2020-03-20 03:09:44
8192,16383,fk,release,3,0,0,46803391,2135,16249037,32371350,46.80 secs,2.13 ms,16.25 secs,32.37 secs,755389.626173,31.372,107420.919157,157327.258782,4.12 GiB,27.05 MiB,3,2020-03-20 03:12:08
16384,32767,fk,release,1,0,0,95842048,2165,33141046,66001921,1.60 mins,2.17 ms,33.14 secs,1.10 mins,nan,10.415322,3254.892823,3871.926967,4.14 GiB,43.18 MiB,1,2020-03-20 03:13:52
32768,65535,fk,release,1,0,0,212694182,2159,66317613,132043844,3.54 mins,2.16 ms,1.11 mins,2.20 mins,nan,8.511404,4360.953255,5544.718244,4.19 GiB,82.30 MiB,1,2020-03-20 03:17:39
65536,131071,fk,release,1,0,0,460219896,2154,132839398,264437466,7.67 mins,2.15 ms,2.21 mins,4.41 mins,nan,9.119942,5779.929744,13855.558915,4.26 GiB,162.68 MiB,1,2020-03-20 03:25:50
131072,262143,fk,release,1,0,0,966682298,2153,266585454,530500613,16.11 mins,2.15 ms,4.44 mins,8.84 mins,nan,13.085102,10166.289881,43919.0234,4.42 GiB,323.45 MiB,1,2020-03-20 03:42:55
262144,524287,fk,release,1,0,0,2044803342,2144,674160675,1352655059,34.08 mins,2.14 ms,11.24 mins,22.54 mins,nan,9.052645,10882029.230189,23827183.67437,4.73 GiB,362.58 MiB,1,2020-03-20 04:19:01
524288,1048575,fk,release,1,0,0,4223741486,2088,1337918089,2658970157,1.17 hrs,2.09 ms,22.30 mins,44.32 mins,nan,12.198351,638069.5,255899.5,5.18 GiB,690.78 MiB,1,2020-03-20 05:33:28
1048576,2097151,fk,release,1,0,0,10045138747,2075,2052039062,4078307947,2.79 hrs,2.08 ms,34.20 mins,1.13 hrs,nan,5.52507,na,na,6.07 GiB,1.12 GiB,1,2020-03-20 08:29:52
