t,n,vss,build,num_deal_iters,num_verify_iters,num_reconstr_iters,avg_deal_usec,avg_verify_usec,avg_reconstr_bc_usec,avg_reconstr_wc_usec,avg_deal_hum,avg_verify_hum,avg_reconstr_bc_hum,avg_reconstr_wc_hum,stddev_deal,stddev_verify,stddev_reconstr_bc,stddev_reconstr_wc,vms_hum,rss_hum,num_real_players
2,3,kate,release,10,1000,1000,989,2193,4903,6863,989.00 mus,2.19 ms,4.90 ms,6.86 ms,15.4211,254.997885,351.627259,483.598889,25.62 MiB,4.27 MiB,3
4,7,kate,release,10,1000,1000,4690,2107,9002,15019,4.69 ms,2.11 ms,9.00 ms,15.02 ms,297.747,106.311779,825.582608,1347.859917,25.62 MiB,4.27 MiB,7
8,15,kate,release,10,1000,1000,12673,2086,17501,31891,12.67 ms,2.09 ms,17.50 ms,31.89 ms,197.596,13.696351,1718.429225,3013.210512,25.62 MiB,5.44 MiB,15
16,31,kate,release,10,1000,1000,39858,2158,35150,67079,39.86 ms,2.16 ms,35.15 ms,67.08 ms,303.2,51.986234,3972.557339,7083.840119,25.75 MiB,5.44 MiB,31
32,63,kate,release,10,1000,1000,133331,2248,74987,146402,133.33 ms,2.25 ms,74.99 ms,146.40 ms,1627.22,245.984154,9930.616165,17797.064188,26.25 MiB,6.02 MiB,63
64,127,kate,release,10,1000,500,457742,2154,129510,255419,457.74 ms,2.15 ms,129.51 ms,255.42 ms,5437.99,8.916361,166.681771,201.751038,27.70 MiB,7.24 MiB,100
128,255,kate,release,10,1000,250,1602352,2153,258851,513286,1.60 secs,2.15 ms,258.85 ms,513.29 ms,5729.03,9.169153,292.193506,438.624752,29.65 MiB,9.69 MiB,100
256,511,kate,release,10,1000,120,5697629,2146,509889,1014445,5.70 secs,2.15 ms,509.89 ms,1.01 secs,8482.97,43.088887,18977.929608,35299.079512,26.96 MiB,6.86 MiB,10
512,1023,kate,release,10,1000,60,20627145,2150,1033994,2058707,20.63 secs,2.15 ms,1.03 secs,2.06 secs,24211,8.412602,421.156562,436.36419,28.15 MiB,8.28 MiB,10
1024,2047,kate,release,10,1000,30,75465111,2238,2148827,4280221,1.26 mins,2.24 ms,2.15 secs,4.28 secs,855219,232.341117,59736.834201,112196.690034,30.55 MiB,10.70 MiB,10
2048,4095,kate,release,3,1000,15,278784385,2161,4188740,8248766,4.65 mins,2.16 ms,4.19 secs,8.25 secs,791791,8.375737,181701.597284,1256.019611,35.50 MiB,15.59 MiB,10
4096,8191,kate,release,2,1000,10,1045012136,2360,9052471,17928955,17.42 mins,2.36 ms,9.05 secs,17.93 secs,543713,335.406824,339645.517699,430384.209342,45.33 MiB,25.32 MiB,10
8192,16383,kate,release,2,1000,10,3883646013,2135,16249037,32371350,1.08 hrs,2.13 ms,16.25 secs,32.37 secs,4323540,31.372,107420.919157,157327.258782,64.62 MiB,44.73 MiB,10
16384,32767,kate,release,1,1000,10,14707293637,2165,33141046,66001921,4.09 hrs,2.17 ms,33.14 secs,1.10 mins,na,10.415322,3254.892823,3871.926967,123.65 MiB,103.54 MiB,10
32768,65535,kate,release,1,1000,10,54416986456,2159,66317613,132043844,15.12 hrs,2.16 ms,1.11 mins,2.20 mins,na,8.511404,4360.953255,5544.718244,181.32 MiB,161.29 MiB,10
65536,131071,kate,release,0,1000,10,190459452596,2154,132839398,264437466,2.20 days,2.15 ms,2.21 mins,4.41 mins,na,9.119942,5779.929744,13855.558915,336.87 MiB,316.94 MiB,10
131072,262143,kate,release,0,1000,8,666608084086,2153,266585454,530500613,7.72 days,2.15 ms,4.44 mins,8.84 mins,na,13.085102,10166.289881,43919.0234,467.88 MiB,447.83 MiB,5
262144,524287,kate,release,0,1000,4,2333128294301,2144,674160675,1352655059,27.00 days,2.14 ms,11.24 mins,22.54 mins,na,9.052645,10882029.230189,23827183.67437,750.00 MiB,729.74 MiB,3
524288,1048575,kate,release,0,1000,2,8165949030053.5,2088,1337918089,2658970157,94.51 days,2.09 ms,22.30 mins,44.32 mins,na,12.198351,638069.5,255899.5,1.39 GiB,1.37 GiB,3
1048576,2097151,kate,release,0,1000,1,28580821605187.2,2075,2052039062,4078307947,330.80 days,2.08 ms,34.20 mins,1.13 hrs,na,5.52507,na,na,2.41 GiB,2.39 GiB,2
